年月;地區;食品餐飲類未滿20(筆數);食品餐飲類未滿20(金額，新台幣);衣著飾品類未滿20(筆數);衣著飾品類未滿20(金額，新台幣);旅館住宿類未滿20(筆數);旅館住宿類未滿20(金額，新台幣);交通類未滿20(筆數);交通類未滿20(金額，新台幣);文教康樂類未滿20(筆數);文教康樂類未滿20(金額，新台幣);百貨類未滿20(筆數);百貨類未滿20(金額，新台幣);其他類未滿20(筆數);其他類未滿20(金額，新台幣);食品餐飲類20(含)-25(筆數);食品餐飲類20(含)-25(金額，新台幣);衣著飾品類20(含)-25(筆數);衣著飾品類20(含)-25(金額，新台幣);旅館住宿類20(含)-25(筆數);旅館住宿類20(含)-25(金額，新台幣);交通類20(含)-25(筆數);交通類20(含)-25(金額，新台幣);文教康樂類20(含)-25(筆數);文教康樂類20(含)-25(金額，新台幣);百貨類20(含)-25(筆數);百貨類20(含)-25(金額，新台幣);其他類20(含)-25(筆數);其他類20(含)-25(金額，新台幣);食品餐飲類25(含)-30(筆數);食品餐飲類25(含)-30(金額，新台幣);衣著飾品類25(含)-30(筆數);衣著飾品類25(含)-30(金額，新台幣);旅館住宿類25(含)-30(筆數);旅館住宿類25(含)-30(金額，新台幣);交通類25(含)-30(筆數);交通類25(含)-30(金額，新台幣);文教康樂類25(含)-30(筆數);文教康樂類25(含)-30(金額，新台幣);百貨類25(含)-30(筆數);百貨類25(含)-30(金額，新台幣);其他類25(含)-30(筆數);其他類25(含)-30(金額，新台幣);食品餐飲類30(含)-35(筆數);食品餐飲類30(含)-35(金額，新台幣);衣著飾品類30(含)-35(筆數);衣著飾品類30(含)-35(金額，新台幣);旅館住宿類30(含)-35(筆數);旅館住宿類30(含)-35(金額，新台幣);交通類30(含)-35(筆數);交通類30(含)-35(金額，新台幣);文教康樂類30(含)-35(筆數);文教康樂類30(含)-35(金額，新台幣);百貨類30(含)-35(筆數);百貨類30(含)-35(金額，新台幣);其他類30(含)-35(筆數);其他類30(含)-35(金額，新台幣);食品餐飲類35(含)-40(筆數);食品餐飲類35(含)-40(金額，新台幣);衣著飾品類35(含)-40(筆數);衣著飾品類35(含)-40(金額，新台幣);旅館住宿類35(含)-40(筆數);旅館住宿類35(含)-40(金額，新台幣);交通類35(含)-40(筆數);交通類35(含)-40(金額，新台幣);文教康樂類35(含)-40(筆數);文教康樂類35(含)-40(金額，新台幣);百貨類35(含)-40(筆數);百貨類35(含)-40(金額，新台幣);其他類35(含)-40(筆數);其他類35(含)-40(金額，新台幣);食品餐飲類40(含)-45(筆數);食品餐飲類40(含)-45(金額，新台幣);衣著飾品類40(含)-45(筆數);衣著飾品類40(含)-45(金額，新台幣);旅館住宿類40(含)-45(筆數);旅館住宿類40(含)-45(金額，新台幣);交通類40(含)-45(筆數);交通類40(含)-45(金額，新台幣);文教康樂類40(含)-45(筆數);文教康樂類40(含)-45(金額，新台幣);百貨類40(含)-45(筆數);百貨類40(含)-45(金額，新台幣);其他類40(含)-45(筆數);其他類40(含)-45(金額，新台幣);食品餐飲類45(含)-50(筆數);食品餐飲類45(含)-50(金額，新台幣);衣著飾品類45(含)-50(筆數);衣著飾品類45(含)-50(金額，新台幣);旅館住宿類45(含)-50(筆數);旅館住宿類45(含)-50(金額，新台幣);交通類45(含)-50(筆數);交通類45(含)-50(金額，新台幣);文教康樂類45(含)-50(筆數);文教康樂類45(含)-50(金額，新台幣);百貨類45(含)-50(筆數);百貨類45(含)-50(金額，新台幣);其他類45(含)-50(筆數);其他類45(含)-50(金額，新台幣);食品餐飲類50(含)-55(筆數);食品餐飲類50(含)-55(金額，新台幣);衣著飾品類50(含)-55(筆數);衣著飾品類50(含)-55(金額，新台幣);旅館住宿類50(含)-55(筆數);旅館住宿類50(含)-55(金額，新台幣);交通類50(含)-55(筆數);交通類50(含)-55(金額，新台幣);文教康樂類50(含)-55(筆數);文教康樂類50(含)-55(金額，新台幣);百貨類50(含)-55(筆數);百貨類50(含)-55(金額，新台幣);其他類50(含)-55(筆數);其他類50(含)-55(金額，新台幣);食品餐飲類55(含)-60(筆數);食品餐飲類55(含)-60(金額，新台幣);衣著飾品類55(含)-60(筆數);衣著飾品類55(含)-60(金額，新台幣);旅館住宿類55(含)-60(筆數);旅館住宿類55(含)-60(金額，新台幣);交通類55(含)-60(筆數);交通類55(含)-60(金額，新台幣);文教康樂類55(含)-60(筆數);文教康樂類55(含)-60(金額，新台幣);百貨類55(含)-60(筆數);百貨類55(含)-60(金額，新台幣);其他類55(含)-60(筆數);其他類55(含)-60(金額，新台幣);食品餐飲類60(含)-65(筆數);食品餐飲類60(含)-65(金額，新台幣);衣著飾品類60(含)-65(筆數);衣著飾品類60(含)-65(金額，新台幣);旅館住宿類60(含)-65(筆數);旅館住宿類60(含)-65(金額，新台幣);交通類60(含)-65(筆數);交通類60(含)-65(金額，新台幣);文教康樂類60(含)-65(筆數);文教康樂類60(含)-65(金額，新台幣);百貨類60(含)-65(筆數);百貨類60(含)-65(金額，新台幣);其他類60(含)-65(筆數);其他類60(含)-65(金額，新台幣);食品餐飲類65(含)-70(筆數);食品餐飲類65(含)-70(金額，新台幣);衣著飾品類65(含)-70(筆數);衣著飾品類65(含)-70(金額，新台幣);旅館住宿類65(含)-70(筆數);旅館住宿類65(含)-70(金額，新台幣);交通類65(含)-70(筆數);交通類65(含)-70(金額，新台幣);文教康樂類65(含)-70(筆數);文教康樂類65(含)-70(金額，新台幣);百貨類65(含)-70(筆數);百貨類65(含)-70(金額，新台幣);其他類65(含)-70(筆數);其他類65(含)-70(金額，新台幣);食品餐飲類70(含)-75(筆數);食品餐飲類70(含)-75(金額，新台幣);衣著飾品類70(含)-75(筆數);衣著飾品類70(含)-75(金額，新台幣);旅館住宿類70(含)-75(筆數);旅館住宿類70(含)-75(金額，新台幣);交通類70(含)-75(筆數);交通類70(含)-75(金額，新台幣);文教康樂類70(含)-75(筆數);文教康樂類70(含)-75(金額，新台幣);百貨類70(含)-75(筆數);百貨類70(含)-75(金額，新台幣);其他類70(含)-75(筆數);其他類70(含)-75(金額，新台幣);食品餐飲類75(含)-80(筆數);食品餐飲類75(含)-80(金額，新台幣);衣著飾品類75(含)-80(筆數);衣著飾品類75(含)-80(金額，新台幣);旅館住宿類75(含)-80(筆數);旅館住宿類75(含)-80(金額，新台幣);交通類75(含)-80(筆數);交通類75(含)-80(金額，新台幣);文教康樂類75(含)-80(筆數);文教康樂類75(含)-80(金額，新台幣);百貨類75(含)-80(筆數);百貨類75(含)-80(金額，新台幣);其他類75(含)-80(筆數);其他類75(含)-80(金額，新台幣);食品餐飲類80(含)以上(筆數);食品餐飲類80(含)以上(金額，新台幣);衣著飾品類80(含)以上(筆數);衣著飾品類80(含)以上(金額，新台幣);旅館住宿類80(含)以上(筆數);旅館住宿類80(含)以上(金額，新台幣);交通類80(含)以上(筆數);交通類80(含)以上(金額，新台幣);文教康樂類80(含)以上(筆數);文教康樂類80(含)以上(金額，新台幣);百貨類80(含)以上(筆數);百貨類80(含)以上(金額，新台幣);其他類80(含)以上(筆數);其他類80(含)以上(金額，新台幣)
105年04月;澎湖縣;20;19564;13;12159;7;30583;37;16731;19;49460;58;87559;7;3264;435;640550;142;270159;141;576545;565;511037;333;1195039;1379;2514468;162;548670;1012;1656354;271;657371;408;2066592;1240;948808;752;3332966;2558;4619404;278;804876;1147;1972545;508;1479237;600;3849379;1727;1523745;1050;4482802;2892;5416793;409;1420429;1302;2770941;718;1620669;820;4517599;2051;1954314;1144;5149266;2903;5305361;432;1648816;1125;2290004;660;1591594;794;4905288;2136;2071544;1354;5896063;2490;4747376;482;2213286;1167;2379155;577;1683524;698;4901063;1972;1917813;1414;6507733;2500;5394974;377;2341984;1091;2295047;361;1219847;594;3858857;1726;1779128;1248;5399511;2182;5024794;320;1484726;857;1671453;230;1225857;401;2490790;1284;1306586;904;4547900;1648;3757843;187;1259809;476;1316395;126;348598;238;1742677;787;821179;627;2854962;932;2329318;94;555298;180;258191;45;149774;77;374088;319;260293;326;1192991;396;916685;27;150372;65;97850;7;23590;25;72008;118;130404;85;210670;99;214818;9;31339;16;24060;1;2956;17;109241;46;30548;55;136220;33;68101;4;8869;5;19110;1;400;0;0;11;8550;12;32775;15;38865;0;0
105年05月;澎湖縣;17;36987;11;17116;9;55672;38;20949;22;26266;52;121393;11;7332;742;1117428;142;233412;186;834348;629;603158;400;1505402;2025;3857040;251;616471;1734;2633624;342;790350;489;2504624;1456;1110493;881;3366337;4011;8134645;508;1471899;2017;3306007;553;1280267;778;5049615;1963;1698598;1068;5027047;4158;8369829;630;1766296;2149;4109590;782;1751760;949;5763260;2342;2265276;1246;7405503;3871;7402974;576;2017229;1750;3266496;777;1787491;846;5822606;2195;2206098;1460;7786844;3098;6376946;568;1953395;1773;3395933;632;1771370;780;6238028;2024;2100643;1392;6989988;2923;6530233;493;1996373;1485;2797085;425;1123780;629;5334788;1785;1749556;1260;6146242;2708;6642327;357;1513900;1037;1907408;272;1247308;360;2741968;1309;1336267;918;3858700;1952;4972222;235;1152841;606;1155325;117;368289;291;2080508;882;929768;554;2524017;1071;2632412;127;512553;262;457673;38;119124;96;608012;366;326186;293;1318311;460;1200487;43;232007;81;223702;7;12499;16;98070;92;68511;101;500043;136;322969;17;35373;16;24793;2;4596;10;61258;46;34358;33;124674;28;58487;4;15175;9;11434;1;3116;1;6560;19;16659;13;25621;12;30145;2;2025
105年06月;澎湖縣;16;20235;9;14770;14;44708;25;18048;15;52556;37;116120;13;12588;612;852153;95;167075;168;764270;447;513242;256;909726;1625;3103708;252;421720;1478;1988605;232;533047;446;2107595;1140;812488;633;2615533;3289;6462243;589;905889;1644;2480645;385;850685;637;4289777;1597;1339472;911;3723473;3499;6763837;736;1685514;1708;3272617;588;1359811;865;4836509;1774;1777284;1043;5045061;3302;6186858;799;2072634;1631;2930024;690;1690585;793;6335207;1899;1943579;1227;6234186;2751;5539162;773;2054875;1538;2651802;505;1144916;748;4866242;1703;1935889;1234;6523456;2560;5754394;667;2134635;1204;2366539;346;1071678;628;5964168;1637;1809382;1062;4977700;2107;4822919;426;1765596;755;1501827;202;1429547;318;1870015;1069;1087830;691;2815565;1333;3220861;243;1286597;440;770234;78;274543;225;1317863;635;735910;403;1303629;773;1681642;143;479134;150;312772;37;109167;71;567045;297;269561;185;561957;308;825966;50;167431;39;59080;8;24266;25;187254;78;65980;45;202112;68;191497;7;14694;15;27899;0;0;9;26726;34;28881;22;52559;18;27305;4;11965;3;13623;0;0;1;14300;1;632;7;13070;12;29910;1;500
105年07月;澎湖縣;53;53402;16;47791;21;89992;47;31874;23;140499;60;79017;21;29321;625;831794;138;264431;216;870841;584;558884;325;1013342;1790;3121991;381;857740;1022;1551530;273;664739;360;1676008;1369;1203913;716;2643883;2716;4794675;607;1427797;1309;2155056;450;1052042;632;4676975;1770;1565853;878;3749662;3261;6192519;902;2037777;2164;4470881;731;1719728;1035;7281595;2321;2430199;1225;6840836;4135;8706211;1007;2224962;2677;4984216;873;2076671;1093;7548353;2488;2659335;1529;9223681;4363;9482812;996;2493798;2474;4917730;718;1738510;1162;8691447;2388;2495727;1594;9081024;3752;8461983;840;3064465;1384;2916634;385;1408095;738;7015665;1911;1847222;1164;6076983;2319;5426215;497;1820442;709;1791105;241;1278972;386;2442266;1293;1318031;822;3576826;1324;3061753;310;1092837;314;643925;89;311977;189;1047394;781;853723;466;2154177;688;1427499;120;468605;110;204999;32;150500;60;291331;400;389870;256;1021027;285;604198;55;222143;33;83496;4;4565;25;167209;102;93288;80;315743;66;118674;9;15331;17;26218;1;800;8;81570;42;24993;32;85621;10;20442;5;76152;20;48252;12;14437;23;130015;38;30748;24;181750;42;71890;12;26057
105年08月;澎湖縣;30;32450;18;28297;12;40298;29;12552;15;26514;45;75488;19;25414;450;597193;122;203086;204;752316;526;509095;334;967131;1394;2391743;332;885938;863;1229994;302;671940;416;1433394;1276;1004532;670;2116865;2359;4131991;560;1495957;1086;1702008;454;991666;582;3786969;1781;1550156;790;3300551;2651;4645416;731;2053590;1555;2893289;783;1706200;878;4740721;2066;2932378;1056;4921929;3116;6252662;889;2670007;1942;3921690;831;1754941;1003;8120989;2203;2242417;1364;7003426;3313;7130433;908;3318235;1823;3479416;768;1836373;995;8247051;2189;2295247;1446;6437769;2879;6325250;803;2823114;1126;2266848;456;1607434;666;5369869;1877;1901662;1086;4665388;1892;4399702;515;2120175;570;1090146;260;1480769;334;2220866;1342;1548981;740;2649549;1067;2368772;300;1154451;332;636689;112;319902;197;913024;796;813092;463;1981352;593;1147433;126;530894;104;172849;39;145080;62;395883;345;276662;241;713227;242;487571;49;198737;23;39636;11;15380;14;49426;110;85547;83;261976;62;116090;14;41604;15;46396;2;5254;12;50678;38;31670;24;106998;16;32147;9;26125;21;25964;6;17900;16;66794;29;26512;22;62924;60;109909;11;10026
105年09月;澎湖縣;21;18999;7;13624;21;72113;41;31401;14;27688;64;90592;27;22499;428;615115;106;209696;155;548183;446;420290;276;945268;1369;2380453;250;667327;873;1301768;243;592177;367;1695109;1205;926147;616;1925315;2543;4510952;614;1864330;1077;1695973;417;1041529;495;3569174;1497;1457676;747;2696471;2607;4522301;750;2327950;1162;2143672;592;1286260;641;3759802;1925;1733942;790;2694723;2454;4329466;880;2629146;1081;2220838;620;1386592;590;4846111;1870;1760226;912;2832120;2102;3939394;851;2921440;1121;2385585;501;1310062;664;3540870;1750;1953460;965;3191020;2086;4215360;739;2546469;871;1740348;291;841044;518;3910088;1559;1591676;919;3122015;1818;4424956;503;2041455;643;1780816;228;1127717;279;1384127;1112;1108119;698;2455904;1198;2867774;262;1271153;306;519528;88;238096;180;789088;708;764578;419;1833655;698;1546228;136;649897;131;269184;37;108352;73;532234;306;285095;231;1114497;254;477013;45;186020;30;53064;5;3492;11;31962;93;75219;62;131317;86;233767;24;110223;16;30696;2;6490;7;22928;42;37443;25;45994;32;131160;5;26489;37;53031;6;32471;18;47824;21;21311;21;89667;48;77451;11;30973
105年04月;金門縣;19;22708;1;998;13;49060;33;21582;11;13587;28;51606;5;9326;351;498493;35;55821;155;643092;604;518465;117;115998;761;1441228;113;441050;788;1457553;97;175704;407;1780238;1433;1405351;318;441343;1783;3867456;197;931462;1231;2507679;231;550018;659;3519604;2255;2586676;372;587331;2395;4792781;324;1150466;1448;3105649;346;718385;730;3068822;2327;2815427;330;810864;2794;6441860;362;1596194;1584;3975601;294;527567;691;4020476;2157;2645224;274;694766;3170;11740423;389;1692094;1716;4826182;209;498843;756;3616690;2316;3584204;232;749260;3311;9071561;286;1748616;1549;5557710;131;288064;647;3987065;2157;3117649;153;579482;3168;8660189;308;1500350;1211;4742952;98;202633;342;2325561;1775;2480567;136;788264;2683;6953140;216;916517;786;2682712;46;184901;231;1362688;1307;2131978;71;398326;1564;4197698;107;493583;315;878258;17;52368;80;296134;534;594641;23;162981;806;2083853;42;247295;90;284663;4;11390;23;35306;181;188055;9;98218;195;493150;11;65735;38;149679;1;1144;14;46876;55;68713;0;0;111;264349;6;37276;11;13993;2;3640;5;19193;31;31588;5;44520;38;84367;3;1570
105年05月;金門縣;17;18564;2;2210;12;68569;37;25740;8;32533;26;65406;4;1354;431;806580;64;109593;176;744619;656;508137;154;166336;774;1392167;158;441844;963;2412511;146;292411;444;1486013;1485;1460003;295;294113;1944;4495336;334;901540;1573;3724147;279;570873;771;3213576;2299;2487545;327;505054;2564;5594279;465;1345245;1845;5163997;454;933765;878;3500953;2537;2923148;299;670517;3095;7227077;468;1641574;1963;6867615;365;716123;853;3825778;2227;2863108;264;1289370;3146;8053078;531;2159935;2107;7300221;291;578541;819;3464256;2317;3176641;212;824909;3503;8908497;428;2352787;2109;9666424;165;404982;757;3934946;2185;3257477;164;567734;3280;8796765;286;1555753;1720;6948534;103;235936;472;2779687;1719;2262232;128;687852;2845;7900097;231;658778;1098;3982768;55;141404;293;1132354;1244;1865608;58;400421;1722;4593543;125;606687;454;2172194;9;29526;88;359778;443;504657;18;256271;837;2188579;46;179017;146;301912;5;11873;24;53261;159;202318;3;7040;230;539946;19;34860;38;73718;1;1850;8;15262;47;59002;0;0;79;183375;3;10141;16;77722;0;0;4;28283;19;15288;0;0;30;83372;3;3425
105年06月;金門縣;17;18822;2;2797;7;36716;26;18078;3;10899;27;68446;17;25645;342;461021;36;60881;162;787386;480;442407;138;143881;616;1159186;259;513696;830;1836129;88;177823;324;1240432;1085;976140;345;357726;1521;4080351;449;853334;1283;3028342;188;398415;569;2541294;1901;1997114;371;651645;2225;5259028;674;1416699;1526;3358342;291;619999;642;2837048;2103;2804906;363;927038;2615;5696487;700;1797932;1729;5253142;292;593419;645;3294811;1763;2307015;282;802341;2955;8191282;651;2354582;1939;5122933;195;464217;687;3053623;2006;2870925;270;1222399;3391;8693828;578;3591161;1761;5691605;140;387784;669;4021037;1788;3057986;147;648753;3155;8788144;347;1175520;1392;5800090;66;154064;402;2753262;1341;1860693;90;413878;2438;7096538;237;1669133;881;3045410;64;168623;209;1231166;948;1407868;53;334530;1411;3895451;135;429149;346;951633;3;6076;73;350277;371;403513;16;738745;774;2018599;37;123116;102;474371;3;4846;22;144622;121;136849;9;334303;248;696801;21;145993;56;119222;0;0;5;12331;39;54758;2;14800;67;168280;5;8966;16;39805;1;882;0;0;20;19336;3;3040;32;107385;2;5700
105年07月;金門縣;24;39042;2;3000;6;21377;24;17824;7;3870;36;58407;13;25519;436;584743;71;128596;172;1152206;643;503958;199;274575;829;1571829;350;657536;1015;1606730;129;270956;473;2023239;1512;1428913;372;389417;2042;5108785;611;1061391;1503;2475833;228;589284;702;3275784;2395;2577755;478;696861;2529;5442023;782;1448625;2030;4352480;345;711094;846;4098426;2562;3260692;448;846117;3437;7295797;848;2203652;2476;5571571;346;703213;972;5362798;2560;4045278;462;925026;4085;11109581;852;1945643;2629;6154275;270;525200;1009;5654534;2593;3954224;340;1075322;4347;11107802;675;2971505;2119;5607966;172;439544;809;4847404;2328;3597212;233;655684;3601;9259226;461;1637386;1333;4405585;103;337134;367;2116182;1652;2285731;131;456731;2735;7183685;258;831901;761;2488256;56;267614;244;1508872;1358;2398396;69;386728;1585;4310947;162;430458;300;872283;4;12112;80;351303;447;503296;18;227306;812;2111115;49;129101;75;148645;1;360;22;89091;150;205213;3;16660;219;605634;11;48699;28;35754;0;0;7;30221;47;51663;4;3825;81;216480;3;19380;25;87003;1;2322;13;129293;35;47124;3;17920;63;148280;4;23847
105年08月;金門縣;28;38927;1;4500;9;18057;28;24428;6;4000;40;73611;22;33136;369;564789;45;95438;190;862689;557;473985;172;202039;769;1506741;338;724730;822;1430344;105;207740;418;1426422;1427;1320136;306;352617;1790;4374233;554;1379551;1443;2705667;228;581734;667;2917523;2304;2265372;334;575869;2610;6836677;800;1844244;1805;3492993;325;645706;781;3686463;2463;2956703;324;529414;3222;9333256;881;2464016;2039;4575925;317;715113;755;4041164;2497;3213877;369;728691;3729;12372300;821;2075794;2373;5310555;237;468280;853;4269745;2528;3211593;288;746945;3746;10525662;638;4715754;1988;5191084;195;491296;694;3849985;2280;3660178;187;719946;3315;9190900;499;1766826;1322;3534256;99;203861;372;2104619;1660;2211476;137;679534;2604;7163681;302;1108504;791;2235103;59;144163;194;741246;1470;2839628;88;605305;1592;4378734;151;502348;383;1097518;8;13214;71;285110;482;523381;34;286666;732;2050388;51;122416;102;219137;5;3175;19;228999;157;182635;5;26690;216;632233;27;107921;35;126632;0;0;9;42663;57;72142;3;21500;100;240733;2;35418;31;86678;8;11358;13;57568;46;48336;2;542;52;136471;4;4557
105年09月;金門縣;27;27085;5;9958;9;56095;41;36639;3;2940;35;52813;32;26789;349;543143;43;90559;163;918172;499;391232;126;121402;641;1360305;314;771109;820;1338863;95;197135;473;1790942;1411;1582503;294;367559;1760;4302519;598;1547091;1323;2795942;169;411929;640;3356500;2060;2214244;348;825981;2277;5176570;741;1924977;1468;3101201;273;577500;709;2755748;2061;2409309;281;539832;2715;6588589;787;2065035;1693;3671763;234;511381;715;3848694;2113;2773437;276;668552;2868;10573861;824;2645855;1927;5457395;170;386054;717;3317187;2018;2680690;215;862123;3060;8379669;595;3078905;1932;5840196;131;324730;668;3051728;1930;2967602;162;665623;3161;8676726;418;1589785;1330;4704881;70;248529;380;2007769;1371;1925350;121;585504;2528;8011224;287;811121;913;3585037;38;84114;335;1269035;1222;2384710;78;731165;1574;5020009;168;528605;351;1073955;4;9854;82;377403;405;466799;25;236139;825;2415433;60;126224;113;512204;2;2490;21;99751;143;165484;4;39800;258;742458;19;95347;42;128890;0;0;9;71120;41;53822;2;16214;81;273190;4;3314;27;77104;0;0;8;24590;35;48318;1;300;53;165155;6;14809
105年04月;連江縣;0;0;0;0;0;0;0;0;0;0;2;1220;0;0;11;16963;0;0;16;31200;56;113543;8;24779;56;70162;1;2390;32;60187;0;0;73;184900;107;213768;14;78387;151;173725;4;34057;51;134704;0;0;109;274350;170;489863;21;119443;192;244720;6;48768;48;139896;0;0;92;268230;179;598040;21;148660;190;236945;5;41995;54;191347;0;0;76;207775;141;388593;20;260350;181;275504;11;41822;60;207500;0;0;66;179145;166;678008;21;273222;180;288053;3;3553;69;197426;0;0;67;185420;126;346300;36;529120;227;378605;9;27070;45;181035;0;0;44;128790;101;340646;16;251585;131;236343;5;48948;29;103510;0;0;32;132750;48;100927;20;253006;86;155566;1;1500;10;34300;0;0;6;11380;23;27441;5;42860;27;59085;0;0;7;10020;0;0;0;0;10;91723;1;22200;9;21694;1;5590;1;3700;0;0;0;0;3;8851;0;0;4;9770;0;0;2;1720;0;0;0;0;2;1500;0;0;2;2780;0;0
105年05月;連江縣;0;0;0;0;0;0;1;1000;0;0;2;6430;0;0;18;22991;0;0;16;45000;42;101742;6;14395;73;103787;2;24914;63;112998;0;0;70;174051;104;222870;20;51483;191;202844;6;26371;92;225751;0;0;138;384175;190;710267;25;160183;254;332580;13;30605;79;270074;0;0;135;324196;223;877105;32;593654;250;355696;8;42436;101;392242;0;0;81;273510;192;794348;36;624695;255;412507;6;18158;92;361397;0;0;99;330526;177;597033;44;738098;266;403485;2;5663;83;352643;0;0;68;209900;162;532629;39;677308;243;462596;7;33020;76;230006;0;0;62;205235;126;509961;26;489311;221;358616;5;15665;40;155480;0;0;43;120600;73;167915;13;350425;138;262690;3;36086;16;92530;0;0;7;19500;28;55791;8;159700;53;78424;0;0;7;18409;0;0;0;0;9;82598;0;0;17;16710;1;8040;1;780;0;0;0;0;2;1916;1;9100;4;6820;0;0;1;1420;0;0;0;0;1;1000;0;0;0;0;0;0
105年06月;連江縣;0;0;0;0;2;11800;0;0;0;0;1;850;0;0;10;23175;0;0;5;10900;19;35501;2;3300;52;51522;2;3972;56;105215;0;0;58;154020;69;128635;14;103850;212;258034;7;13670;81;216058;0;0;110;332400;108;287962;30;127016;270;356624;10;46759;76;279141;0;0;88;226260;114;424244;25;342146;268;331689;3;12075;64;213785;0;0;87;264970;119;478695;29;482775;243;342944;12;62210;104;408350;0;0;87;278220;110;252570;31;671662;268;420008;6;21171;91;284020;0;0;89;263140;115;290468;32;482573;299;531152;7;13825;89;393821;0;0;78;248770;98;234935;34;837100;278;455215;11;55287;58;233204;0;0;37;92500;55;147810;32;530696;160;287618;1;996;17;103360;0;0;15;40200;24;26514;10;173612;65;133880;0;0;2;930;0;0;2;6800;3;8000;9;124050;18;33445;0;0;0;0;0;0;0;0;3;1935;1;18200;4;3140;0;0;0;0;0;0;0;0;6;10700;0;0;0;0;0;0
105年07月;連江縣;1;1744;0;0;0;0;2;2450;1;9060;;;0;0;16;21995;0;0;13;33250;20;41979;10;12271;133;144998;3;9765;42;127880;0;0;53;163986;74;146740;14;72524;243;270708;4;30008;63;145319;0;0;92;238150;122;467295;24;80970;336;527848;13;39083;77;276292;0;0;131;370390;121;456643;27;377448;383;574091;1;10000;102;369451;0;0;133;448242;117;458942;16;282655;422;624253;7;12719;104;337760;0;0;139;569846;97;309715;42;778340;410;648905;7;39910;79;308401;0;0;94;319445;97;267517;41;676155;315;526993;3;22553;72;303665;0;0;44;152340;84;192455;19;468730;241;411975;5;12548;36;302749;0;0;33;147005;38;78031;11;167700;144;556031;3;4453;11;33440;0;0;9;45650;18;32770;6;97324;54;91630;0;0;2;1840;0;0;1;1500;9;13582;0;0;14;13400;0;0;1;1450;0;0;1;3000;0;0;1;24000;3;7860;0;0;0;0;0;0;2;4400;9;16366;0;0;4;7810;0;0
105年08月;連江縣;0;0;0;0;2;6720;3;4207;0;0;7;7629;0;0;12;22287;0;0;13;32848;29;41084;8;12784;90;91082;4;28978;56;120959;0;0;47;129378;65;152057;20;64173;222;277380;5;40342;55;154131;0;0;95;364644;103;263064;23;72720;329;414403;12;37050;60;184993;0;0;96;303630;118;380873;19;44876;320;507875;5;21685;86;265029;0;0;96;330660;115;382232;14;54648;317;513366;9;25854;101;310797;0;0;109;394010;119;248529;18;290881;404;682207;8;55420;103;388550;0;0;86;388130;86;212498;28;417303;344;617790;4;40939;43;155576;0;0;50;181195;65;157149;13;187200;245;455472;2;2172;41;744391;0;0;39;119250;40;71533;13;290272;142;280477;3;34000;13;53683;0;0;6;19540;21;26363;6;145900;57;107141;1;6150;4;47980;0;0;6;29489;5;7639;5;105500;7;7590;0;0;0;0;0;0;0;0;1;1916;0;0;2;830;0;0;0;0;0;0;4;8200;7;12000;0;0;2;6210;0;0
105年09月;連江縣;2;1640;0;0;0;0;0;0;1;6930;;;1;470;16;36590;0;0;11;20580;18;43186;8;6260;86;104621;1;6610;32;49615;0;0;46;140280;58;86419;9;75310;171;191211;9;30600;35;73141;0;0;63;214790;85;351253;14;64038;260;376550;8;31608;45;101817;0;0;73;220980;63;188823;27;286806;242;360485;2;2057;40;191372;0;0;59;179610;85;280343;10;126580;235;360413;6;10267;60;255589;0;0;46;207180;73;126249;22;180250;250;386652;6;53980;50;227338;0;0;57;191520;95;258759;16;169790;271;509362;2;8428;47;247303;0;0;46;157580;61;209327;10;76784;245;434963;3;13302;50;186171;0;0;28;102916;42;69904;5;89435;162;277207;3;31223;19;98610;0;0;6;13700;24;36757;3;49900;87;147375;1;7570;6;48418;0;0;1;2200;4;8070;1;7400;17;45190;0;0;4;5220;0;0;2;7840;1;935;0;0;12;40060;0;0;3;2660;0;0;2;4800;2;2433;1;24600;10;17395;0;0
